,year,smart_institution5,count
1684,2021,University Of Minnesota,1
2215,2023,University Of Minnesota,1
474,2017,University Of Medicine And Dentistry Of New Jersey,1
1087,2019,University Of Manitoba,1
2208,2023,University Of Kansas School Of Medicine,1
764,2018,University Of Kansas Medical Center,1
1407,2020,University Of Kansas Medical Center,1
1406,2020,University Of Kansas Health System,1
194,2016,University Of Kansas,1
467,2017,University Of Iowa,1
1404,2020,University Of Illinois College Of Medicine At Peoria,1
1403,2020,University Of Illinois College Of Medicine - Peoria,1
1081,2019,University Of Illinois At Chicago,1
1402,2020,University Of Illinois At Chicago,1
1677,2021,University Of Illinois At Chicago,1
2204,2023,University Of Illinois At Chicago,1
1080,2019,University Of Illinois,1
2203,2023,University Of Illinois,1
760,2018,University Of Hawaii,1
1401,2020,University Of Hawaii,1
758,2018,University Of Flordia College Of Medicine,1
190,2016,University Of Connecticut School Of Medicine,1
757,2018,University Of Connecticut School Of Medicine,1
188,2016,University Of Cincinnati Medical College,1
1897,2022,University Of Cincinnati,1
1396,2020,University Of Central Florida/Hospital Corporation Of America,1
2197,2023,University Of Central Florida/Hca Consortium Ocala,1
1895,2022,University Of Central Florida College Of Medicine,1
2196,2023,University Of Central Florida College Of Medicine,1
185,2016,University Of Central Florida,1
1672,2021,University Of Central Florida,1
1894,2022,University Of Central Florida,1
184,2016,University Of Cambridge,1
1075,2019,University Of Cambridge,1
1395,2020,University Of Cambridge,1
1671,2021,University Of Cambridge,1
2195,2023,University Of Cambridge,1
1670,2021,University Of California San Francsco - East Bay,1
752,2018,University Of California San Francisco - East Bay,1
1394,2020,University Of California San Francisco - East Bay,1
1669,2021,University Of California San Francisco - East Bay,1
182,2016,University Of California - San Diego,1
1391,2020,University Of California - Riverside,1
1666,2021,University Of California - Riverside,1
457,2017,University Of California - Irvine,1
1889,2022,University Of California - Davis,1
2188,2023,University Of California - Berkeley,1
454,2017,University Of British Columbia,1
1387,2020,University Of British Columbia,1
1662,2021,University Of British Columbia,1
453,2017,University Of Auckland,1
1067,2019,University Of Auckland,1
1063,2019,University Of Abuja-Teaching Hospital,1
1886,2022,University Hospitials,1
1658,2021,University Hospitals Cleveland Medical Center,1
2182,2023,University Hospitals,1
1062,2019,University Hospital Waterford,1
1884,2022,University Hospital Waterford,1
1061,2019,University Hospital Limerick,1
1883,2022,University Hospital Ibn Sina Um5,1
1382,2020,Universit Degli Studi Di Salerno,1
174,2016,Universit Catholique De Louvain,1
1657,2021,Universit Catholique De Louvain,1
1381,2020,Universide Do Estado Do Amazonas,1
1380,2020,Universidade Federal De Minas Gerais,1
1656,2021,Universidade Federal De Minas Gerais,1
447,2017,Universidade Estadual Do Amazonas,1
1654,2021,Universidad Peruana Cayetano Heredia,1
2181,2023,Universidad Industrial De Santander,1
1060,2019,Universidad Del Rosario,1
1882,2022,Universidad De La Sabana,1
2180,2023,Universidad Catlica Argentina,1
1881,2022,Universidad Anahuac Mexico,1
742,2018,Unitypoint Health,1
2179,2023,United States Air Force,1
1059,2019,Uniformed Services University Of The Health Sciences,1
1653,2021,Uniformed Services University Of The Health Sciences,1
2178,2023,Uniformed Services University Of The Health Sciences,1
2177,2023,Uf Health Shands Hospital,1
740,2018,Ucsf-East Bay,1
1058,2019,Ucsf Fresno,1
2176,2023,Ucsf Fresno,1
446,2017,Ucsf East Bay,1
1057,2019,Ucsf East Bay,1
1379,2020,Ucsf East Bay,1
1652,2021,Ucsf East Bay,1
173,2016,Ucsf Benioff Children'S Hospital Oakland,1
1056,2019,Ucsf Benioff Children'S Hospital Oakland,1
2175,2023,Ucla Fielding School Of Public Health,1
1879,2022,Uc San Diego School Of Medicine,1
2174,2023,Uc San Diego School Of Medicine,1
739,2018,Uc Davis,1
1878,2022,Tulane University School Of Medicine,1
736,2018,Tsinghua University,1
1053,2019,Tripler Army Medical Center,1
1375,2020,Trinity College Dublin,1
1374,2020,Touro University,1
442,2017,Toronto Western Hospital,1
1052,2019,Toranomon Hospital,1
1373,2020,Tokyo Metropolitan Cancer And Infectious Diseases Center Komagome Hospital,1
1051,2019,Tokyo Medical And Dental University,1
168,2016,Thomas E. Starzl Transplantation Institure,1
439,2017,Thomas E. Starzl Transplantation Institure,1
733,2018,The Warren Alpert Medical School,1
167,2016,The University Of Vermont Medical Center,1
1371,2020,The University Of Tokyo,1
1049,2019,The University Of Texas Rio Grande Valley,1
438,2017,The University Of Tennessee Medical Center At Knoxville,1
1370,2020,The University Of Tennessee Medical Center At Knoxville,1
732,2018,The University Of Melbourne,1
1048,2019,The University Of Kansas Medical Center,1
1876,2022,The University Of Kansas Medical Center,1
731,2018,The University Of Hong Kong,1
1369,2020,The Royal Wolverhampton Hospitals Nhs Trust,1
436,2017,The Royal Marsden Nhs Foundation Trust,1
730,2018,The Research Institute At Nationwide Children'S Hospital,1
1047,2019,The Mount Sinai Hospital,1
1368,2020,The Mount Sinai Hospital,1
1647,2021,The Medical University Of South Carolina,1
2169,2023,The Medical University Of South Carolina,1
166,2016,The Medical Center Navicent Health,1
1875,2022,The Jackson Laboratory For Genomic Medicine,1
728,2018,The Geneva Foundation,1
164,2016,The First Affiliated Hospital Of China Medical University,1
434,2017,The First Affiliated Hospital Of China Medical University,1
1045,2019,The Feinstein Institute For Medical Research At Northwell Health,1
433,2017,The Feinstein Institute For Medical Research,1
727,2018,The Feinstein Institute For Medical Research,1
1366,2020,The Feinstein Institute For Medical Research,1
2168,2023,The Feinstein Institute For Medical Research,1
432,2017,The Elmezzi Graduate School Of Molecular Medicine,1
1043,2019,The Elmezzi Graduate School Of Molecular Medicine,1
1365,2020,The Curtis National Hand Center,1
163,2016,The Children'S Hospital Of Philadelphia,1
2167,2023,The Children'S Hospital Of Philadelphia,1
431,2017,The Children'S Hospital Of Alabama,1
1364,2020,The Children'S Hospital Of Alabama,1
2166,2023,The Children'S Hospital Of Alabama,1
726,2018,The Burn Center,1
725,2018,The Austin Hospital,1
724,2018,The American British Cowdray Medical Center,1
1041,2019,The American British Cowdray Medical Center,1
1040,2019,The Alfred Hospital,1
429,2017,The Aga Khan University Hospital Karachi,1
1872,2022,Texas Children'S Hospital,1
1361,2020,Texas Children'S Fetal Center,1
2163,2023,Texas A&M University,1
719,2018,Teikyo University Hospital Trauma And Resuscitation Center,1
1643,2021,Tawam Hospital,1
158,2016,Targeted And Biological Therapies Group,1
425,2017,Taipei Medical University - Shuang Ho Hospital,1
424,2017,Sylvester Cancer Center,1
157,2016,Surgical Outcomes And Quality Improvement Center (Soqic),1
423,2017,Surgeons Overseas (Sos),1
718,2018,Suny Upstate Medical University,1
1359,2020,Suny Upstate Medical University,1
1034,2019,Suny Downstate Health Sciences University,1
1358,2020,Suny Downstate Health Science Center,1
421,2017,Suny Downstate College Of Medicine,1
155,2016,Sunnybrook Health Sciences Centre,1
1870,2022,Stroger Hospital Of Cook County,1
2160,2023,Stratus Center For Medical Simulation,1
716,2018,Steven And Alexandra Cohen Children'S Medical Center,1
1032,2019,Staten Island University Hospital-Northwell Health,1
419,2017,Staten Island University Hospital,1
1641,2021,Staten Island University Hospital,1
2153,2023,St. Luke'S University Health Network,1
711,2018,St. Luke'S Roosevelt Hospital Center,1
1866,2022,St. Luke'S Hospital Plaza- Kansas City,1
1350,2020,St. Louis University,1
413,2017,St. Jude Children'S Research Hospital,1
710,2018,St. Jude Children'S Research Hospital,1
1027,2019,St. Jude Children'S Research Hospital,1
2151,2023,St. Joseph Mercy Ann Arbor,1
150,2016,St. Christopher'S Hospital For Children,1
709,2018,St. Christopher'S Hospital For Children,1
1025,2019,St. Christopher'S Hospital For Children,1
2150,2023,St Jude Childrens Research Hospital,1
1637,2021,St Agnes Hospital,1
1349,2020,Ssm Cardinal Glennon Children'S Hospital,1
411,2017,Spectrum Health,1
1024,2019,Southside Hospital / Northwell Health,1
409,2017,Southern Illinois University,1
148,2016,Southern District Health Board,1
708,2018,Southern Arizona Va Health Care System,1
1636,2021,South Auckland Clinical School,1
707,2018,Soroti Regional Referral Hospital,1
1865,2022,Sky Ridge Medical Center,1
147,2016,Sinai Hospital Of Baltimore,1
408,2017,Sinai Hospital Of Baltimore,1
706,2018,Sinai Hospital Of Baltimore,1
1347,2020,Sinai Hospital Of Baltimore,1
1635,2021,Sinai Hospital Of Baltimore,1
1864,2022,Sinai Hospital Of Baltimore,1
407,2017,Sinai Hospital,1
146,2016,Simpson Querrey Institute For Bionanotechnology,1
705,2018,Sidney Kimmel Medical College At Thomas Jefferson University,1
406,2017,Shore Regional,1
1345,2020,Shizuoka Children'S Hospital,1
2149,2023,Shinshu University School Of Medicine,1
1344,2020,Shinshu Medical University,1
1021,2019,Sheba Medical Center,1
1343,2020,Sheba Medical Center,1
1020,2019,Shady Side Academy,1
1019,2019,Sentara Healthcare,1
144,2016,Semmelweis University,1
2148,2023,Sefako Makgatho Health Sciences University,1
704,2018,Seattle Children'S Hospital,1
1634,2021,Seattle Children'S Hospital,1
1341,2020,Scripps Mercy Hospital Trauma Service,1
1633,2021,Scripps Mercy Hospital Trauma Service,1
2146,2023,Scripps Health,1
703,2018,Scott & White Healthcare,1
1340,2020,Scott & White Healthcare,1
1632,2021,Scott & White Healthcare,1
1018,2019,Sapporo Medical University Hospital,1
1017,2019,Sapporo Ishiyama Hospital,1
2145,2023,San Joaquin General Hospital,1
1015,2019,San Francisco State University,1
702,2018,San Francisco General Hospital And The University Of California,1
1338,2020,San Antonio Military Medical Center,1
2144,2023,Samford University,1
1863,2022,Saint Mary'S Hospital,1
1336,2020,Saint Elizabeth Medical Center,1
701,2018,Saint Boniface Hospital,1
700,2018,Saint Barnabas Medical Center,1
1013,2019,Saint Barnabas Medical Center,1
140,2016,Saint Agnes Hospital,1
1012,2019,Saint Agnes Hospital,1
1631,2021,Saint Agnes Hospital,1
403,2017,Sacramento Veterans Affairs Medical Center,1
1011,2019,Sacramento Veterans Affairs Medical Center,1
1334,2020,Sacramento Va Medical Center,1
699,2018,Rutgers School Of Dental Medicine,1
1333,2020,Rutgers School Of Biomedical Sciences,1
1010,2019,Rutgers Rwjms,1
139,2016,Rutgers Robert Wood Johnson Medical School,1
1331,2020,Rutgers Cancer Institute Of New Jersey,1
1628,2021,Rutgers Cancer Institute Of New Jersey,1
2142,2023,Rutgers Cancer Institute Of New Jersey,1
1627,2021,Russells Hall Hospital,1
2140,2023,Rush Medical College,1
1625,2021,Royal Prince Alfred Hospital,1
136,2016,Royal Free Hospital Nhs Foundation Trust,1
1007,2019,Roswell Park Comprehensive Cancer Center,1
1329,2020,Roswell Park Comprehensive Cancer Center,1
135,2016,Roswell Park Cancer Institute,1
1623,2021,Roswell Park Cancer Institute,1
399,2017,Roger Williams Medical Center,1
1859,2022,Roger Williams Medical Center,1
2138,2023,Rocky Vista University,1
398,2017,Robert Wood Johnson - Umdnj,1
695,2018,Robert Wood Johnson - Umdnj,1
1005,2019,Robert Wood Johnson - Umdnj,1
1622,2021,Robert Wood Johnson - Umdnj,1
1857,2022,Robert H. Lurie Comprehensive Cancer Center,1
1004,2019,Riverside University Health System,1
1327,2020,Riley Hospital For Children,1
1856,2022,Riley Hospital For Children,1
2136,2023,Riley Hospital For Children,1
134,2016,Rigshospitalet,1
694,2018,Rice University,1
1003,2019,Rice University,1
1002,2019,Rhodes College,1
693,2018,Rhode Island Hospital,1
1000,2019,Reid Plastic & Reconstructive Surgery,1
396,2017,Rady Children'S Hospital/ Uc San Diego,1
1854,2022,Rady Children'S Hospital - San Diego,1
2134,2023,Rady Children'S Hospital,1
133,2016,Radboudumc,1
2133,2023,Rabin Medical Center,1
692,2018,R Adams Cowley Shock Trauma Center,1
1853,2022,R Adams Cowley Shock Trauma Center,1
691,2018,Queen Mary,1
393,2017,Queen Elizabeth Central Hospital,1
392,2017,Qassim University,1
2132,2023,Providence Portland Cancer Center,1
689,2018,Promedica Health System,1
131,2016,Program In Global Surgery And Social Change,1
1621,2021,Program In Global Surgery And Social Change,1
1620,2021,Prince Sultan Military Medical City,1
1325,2020,Prince Of Wales Hospital,1
391,2017,Primary Childrens Hospital,1
1324,2020,Primary Childrens Hospital,1
130,2016,Price Institute Of Surgical Research,1
997,2019,Price Institute Of Surgical Research,1
1323,2020,Price Institute Of Surgical Research,1
1322,2020,Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,1
688,2018,Physis Group,1
390,2017,Physiotherapy Dept. Health Sciences,1
389,2017,Phoenix Children'S,1
1321,2020,Philadelphia College Of Osteopathic Medicine,1
1619,2021,Philadelphia College Of Osteopathic Medicine,1
2129,2023,Philadelphia College Of Osteopathic Medicine,1
687,2018,Peter Maccallum Cancer Centre,1
388,2017,Pennsylvania State University College Of Medicine,1
2128,2023,Pennington Biomedical Research Center,1
685,2018,Penn State Children'S Hospital,1
684,2018,Penn Medicine Lancaster General Health,1
1319,2020,Penn Medicine Lancaster General Health,1
128,2016,Partners In Health,1
995,2019,Partners In Health,1
1616,2021,Partners In Health,1
127,2016,Parkland Health And Hospital System,1
386,2017,Parkland Health And Hospital System,1
1849,2022,Parkland Health And Hospital System,1
1318,2020,Paracelsus Medical University,1
682,2018,Panzi Hospital,1
1615,2021,Palmetto General Hospital- Center For Advanced Surgical Oncology,1
2125,2023,Palmetto General Hospital- Center For Advanced Surgical Oncology,1
681,2018,Pacific Northwest University Of Health Sciences,1
1614,2021,Our Lady Of The Lake Regional Medical Center,1
1848,2022,Ouhsc,1
992,2019,Osaka Saiseikai-Noe Hospital,1
2124,2023,Osaka Saiseikai-Noe Hospital,1
1316,2020,Orlando Regional Medical Center,1
680,2018,Oregon Health And Science University,1
2123,2023,Oregon Health And Science University,1
2122,2023,Oklahoma Childrens Hospital,1
1314,2020,Okinawa Chubu Hospital,1
2121,2023,Okayama University Graduate School Of Medicine,1
990,2019,Ohta Nishinouchi General Hospital,1
1313,2020,Ohta Nishinouchi General Hospital,1
1612,2021,Ohiohealth Grant Medical Center,1
382,2017,Ohiohealth Doctors Hospital,1
988,2019,Ohiohealth Doctors Hospital,1
1311,2020,Ohiohealth Doctors Hospital,1
381,2017,Ohio University,1
987,2019,Ohio University,1
1845,2022,Ohio University,1
1610,2021,Ocala Regional Medical Center,1
378,2017,Ocala Health,1
985,2019,Oakland University William Beaumont School Of Medicine,1
1308,2020,Nyu Winthrop Hospital,1
984,2019,Nyu Langone Hospital-Brooklyn,1
2118,2023,Nyu Langone Hospital - Long Island,1
983,2019,Nyu Langone Health,1
1307,2020,Nyu Langone Health,1
1609,2021,Nyu Langone Health,1
1843,2022,Nyc Health +Hospitals/ Elmhurst,1
377,2017,Nsu,1
677,2018,Noveome Biotherapeutic,1
2117,2023,Nova Southeastern University,1
1306,2020,Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,1
122,2016,Northwestern Memorial Hospital,1
1606,2021,Northwell Northshore/Long Island Jewish,1
1605,2021,Northwell North Shore/Long Island Jewish,1
1839,2022,Northwell North Shore/Long Island Jewish,1
375,2017,Northwell Health System - Long Island Jewish Medical Center,1
674,2018,Northwell Health System,1
1604,2021,Northwell Health North Shore/Long Island Jewish Hospital,1
374,2017,Northwell Health,1
981,2019,Northwell Health,1
2115,2023,Northwell - Staten Island University Hospital,1
1837,2022,Northwell,1
372,2017,Northshore University Health System,1
1303,2020,Northernontario School Of Medicne,1
2114,2023,Northern Ontario School Of Medicine(Nosm) University,1
1603,2021,North Shore University Hospital And Long Island Jewish Medical Center,1
1602,2021,North Shore University And Long Island Jewish Medical Center,1
2113,2023,North Shore University And Long Island Jewish Medical Center,1
1301,2020,North Florida/South Georgia Veterans Health System,1
2112,2023,Nkafu Policy Institute,1
1299,2020,Newyork-Presbyterian Queens Hospital,1
1601,2021,Newyork-Presbyterian Queens Hospital,1
1298,2020,Newyork-Presbyterian Brooklyn Methodist Hospital,1
1600,2021,Newyork-Presbyterian Brooklyn Methodist Hospital,1
1599,2021,New York University School Of Medicine,1
2110,2023,New York University Langone Hospital - Long Island,1
975,2019,New York University Langone Health,1
1833,2022,New York Presbyterian Hospital,1
367,2017,New York Medical College,1
666,2018,New York Medical College,1
2109,2023,New York Medical College,1
1832,2022,New York Institute Of Technology College Of Osteopathic Medicine,1
365,2017,Nepal Medical College And Teaching Hospital,1
972,2019,Nemours/Alfred I Dupont Hospital For Children,1
664,2018,Nemours Children'S Hospital,1
971,2019,Nemours Children'S Hospital,1
1294,2020,Nemours Children'S Hospital,1
1597,2021,Nemours Children'S Hospital,1
1830,2022,Nemours Children'S Health System,1
2107,2023,Nemours Children'S Health,1
116,2016,Nemours Children Hospital,1
364,2017,Nemours Children Hospital,1
1293,2020,Nemours Alfred I Dupot Hospital For Children,1
115,2016,Nemour'S Children'S Hospital; University Of Central Florida,1
970,2019,Naval Medical Research Unit San Antonio,1
1292,2020,Naval Medical Research Unit San Antonio,1
1596,2021,Naval Medical Research Unit San Antonio,1
1829,2022,Naval Medical Research Unit San Antonio,1
114,2016,Naval Medical Center Portsmouth,1
663,2018,Naval Medical Center Portsmouth,1
1595,2021,Nationwide Children'S Hospital,1
2104,2023,Nationwide Children'S Hospital,1
968,2019,National University Of Rwanda,1
660,2018,National Taiwan University Hospital,1
112,2016,National Institutes Of Health,1
359,2017,National Institutes Of Health,1
1594,2021,National Cancer Institute,1
2103,2023,National Cancer Institute,1
358,2017,Nagoya University,1
658,2018,Nagoya University,1
657,2018,Nagasaki University,1
357,2017,Musc,1
965,2019,Mountain Area Health Education Center,1
356,2017,Mount Sinai St. Luke'S Roosevelt General Surgery Residency Program,1
1285,2020,Morristown Medical Center,1
354,2017,Morehouse School Of Medicine,1
2101,2023,Moores Cancer Center,1
109,2016,Monroe Carell,1
353,2017,Monmouth Medical Center,1
963,2019,Monash University,1
2100,2023,Moi Teaching And Referral Hospital,1
1591,2021,Moffitt Cancer Center And Research Institute,1
351,2017,Michigan State University,1
653,2018,Michigan State University,1
961,2019,Michigan State University,1
1824,2022,Michigan State University,1
2098,2023,Michigan State University,1
652,2018,Michael E. Debakey Veterans Affairs Medical Center,1
960,2019,Michael E. Debakey Veterans Affairs Medical Center,1
1590,2021,Michael E. Debakey Veterans Affairs Medical Center,1
350,2017,Michael E. Debakey Va Medical Center,1
1281,2020,Michael E. Debakey Va Medical Center,1
1280,2020,Miami Valley Hospital,1
651,2018,Metropolitan Hospital Center,1
1823,2022,Metropolitan Hospital Center,1
1822,2022,Metrohealth Medical Center,1
1821,2022,Metroderm,1
650,2018,Methodist Debakey Heart And Vascular Center,1
958,2019,Meritus,1
1278,2020,Meritus,1
349,2017,Mercy Catholic Medical Center,1
348,2017,Mercer University School Of Medicine,1
957,2019,Mercer University School Of Medicine,1
1277,2020,Mercer University School Of Medicine,1
1588,2021,Mercer University School Of Medicine,1
956,2019,Mending Kids,1
105,2016,Memorial Sloan-Kettering Cancer Center,1
2095,2023,Memorial Sloan-Kettering Cancer Center,1
104,2016,Meharry Medical College,1
1587,2021,Meharry Medical College,1
954,2019,Medical University Of South Carolina,1
1586,2021,Medical University Of South Carolina,1
2094,2023,Medical University Of South Carolina,1
1584,2021,Medical College Of Georgia At Augusta University,1
645,2018,Medical College Of Georgia,1
2092,2023,Medical College Of Georgia,1
1582,2021,Mcmaster University,1
950,2019,Mcgill University,1
2091,2023,Mcgill University,1
949,2019,Mccallum Place,1
101,2016,Mbarara University Of Science And Technology,1
100,2016,Mayo Medical School,1
643,2018,Mayo Clinic Rochester,1
1272,2020,Mayo Clinic In Arizona,1
99,2016,Mayo Clinic - Rochester,1
98,2016,Mayo Clinic - Florida,1
342,2017,Mayo Clinic - Florida,1
642,2018,Mayo Clinic - Florida,1
2088,2023,Mayo Clinic - Florida,1
340,2017,Matsushima Hospital,1
1269,2020,Mater Infirmorum,1
2086,2023,Mater Adult Brisbane Hospital,1
945,2019,Mary Bridge Children'S Health Center,1
1578,2021,Marshfield Clinic Health Center,1
1816,2022,Marshfield Clinic Health Center,1
944,2019,Marshall University School Of Medicine,1
638,2018,Marshall University Joan C. Edwards School Of Medicine,1
1266,2020,Marshall Institute For Interdisciplinary Research,1
1814,2022,Marin Health Medical Center,1
1265,2020,Marin General Hospital,1
637,2018,Makerere University,1
1813,2022,Makerere University,1
95,2016,Maine Medical Center,1
338,2017,Maine Medical Center,1
636,2018,Maine Medical Center,1
1576,2021,Maine Medical Center,1
1812,2022,Maine Medical Center,1
337,2017,Magee-Womens Research Institute,1
94,2016,Madigan Army Medical Center,1
2083,2023,Madigan Army Medical Center,1
942,2019,Loyola Universtiy Medical Center,1
1811,2022,Loyola University Medical Center,1
91,2016,Loyola University Chicago,1
633,2018,Louisiana State University Health Sciences Center,1
938,2019,Loma Linda University Children'S Hospital,1
1258,2020,Liver And Pancreas Transplant Center,1
1257,2020,Lincoln Medical Center,1
937,2019,Lewis Katz School Of Medicine,1
1256,2020,Lenox Hill Hospital,1
1572,2021,Lenox Hill Hospital,1
2078,2023,Lenox Hill Hospital,1
332,2017,Leiden University Medical Center,1
936,2019,Lehigh Valley Health Network,1
331,2017,Legacy Good Samaritan Medical Center,1
2076,2023,Lebanon Valley College,1
1806,2022,Le Bonheur Children'S Hospital,1
89,2016,Larkin Community Hospital,1
2074,2023,Larkin Community Hospital,1
2073,2023,Lankenau Medical Center,1
88,2016,Lahey Hospital And Medical Center,1
1571,2021,Lahey Hospital And Medical Center,1
2072,2023,Lagos University Teaching Hospital,1
1254,2020,Lac+Usc Medical Center,1
1570,2021,Laboratory For Regenerative Tissue Repair,1
630,2018,Laboratory For Fetal And Regenerative Biology,1
934,2019,Laboratory For Fetal And Regenerative Biology,1
629,2018,Kyushu University,1
2071,2023,Kyushu University,1
328,2017,Komfo Anokye Teaching Hospital,1
1569,2021,Komfo Anokye Teaching Hospital,1
628,2018,Kings County Hospital Center,1
1252,2020,Kings County Hospital Center,1
327,2017,King'S Mill Hospital,1
326,2017,King'S College London,1
627,2018,King'S College London,1
931,2019,King'S College London,1
1251,2020,King'S College London,1
1568,2021,King'S College London,1
325,2017,King'S College Hospital Nhs Foundation Trust,1
1567,2021,King George Medical University,1
930,2019,King Faisal Specialist Hospital & Research Center,1
2069,2023,King Edward Medical University,1
625,2018,Kinan Hospita,1
1249,2020,Kidsor,1
84,2016,Kibungo Referral Hospital,1
929,2019,Keio University School Of Medicine,1
1247,2020,Keio University School Of Medicine,1
2068,2023,Keio University School Of Medicine,1
82,2016,Keio Universiry,1
624,2018,Keck School Of Medicine Of The University Of Southern California,1
81,2016,Keck School Of Medicine,1
623,2018,Kaweah Delta Medical Center,1
1246,2020,Kaweah Delta Medical Center,1
928,2019,Kashiwa Kosei General Hospital,1
927,2019,Karolinska Institutet,1
80,2016,Karmanos Cancer Institute,1
1803,2022,Kansas City University,1
2067,2023,Kansas City University,1
1245,2020,Kamuzu Central Hospital,1
1802,2022,Kampala International University Western Campus,1
2066,2023,Kagoshima University,1
1243,2020,Johns Hopkins All Children'S Hospital,1
1800,2022,Johns Hopkins All Children'S Hospital,1
321,2017,John Wayne Cancer Institute/Providence St. John'S Medical Center,1
925,2019,John R. Oishei Children'S Hospital,1
1242,2020,John R. Oishei Children'S Hospital,1
78,2016,John H. Stroger,1
1799,2022,John H. Stroger,1
1239,2020,John D. Dingell Va Medical Center,1
1238,2020,Joe Dimaggio Children'S Hospital,1
2063,2023,Jesse Brown Va Medical Center,1
2062,2023,Jellison Cancer Institute/ Florida State University College Of Medicine,1
77,2016,Jefferson Univeristy Hospital,1
923,2019,Japanese Red Cross Maebashi Hospital,1
1798,2022,Jamaica Hospital Medical Center,1
620,2018,Iu School Of Medicine,1
922,2019,Iu School Of Medicine,1
76,2016,International Rescue Committee,1
921,2019,Intermountain Primary Children'S Hospital,1
618,2018,Intermountain Medical Center,1
1563,2021,Intermountain Medical Center,1
1797,2022,Intermountain Medical Center,1
2061,2023,Intermountain Medical Center,1
320,2017,Instituto Nacional De Cancerologa,1
2060,2023,Instituto Nacional De Cancerologa,1
920,2019,Institute Of Clinical Medicine,1
919,2019,Inspira Health Network,1
1237,2020,Inspira Health Network,1
918,2019,Inova Fairfax Hospital,1
916,2019,Imperial College Trust,1
2057,2023,Imperial College Healthcare Nhs Trust,1
616,2018,Ichihara Hospital,1
1235,2020,Ibm Watson Health,1
1561,2021,Ibm Watson Health,1
915,2019,Hyogo Emergency Medical Center,1
1560,2021,Hyogo Emergency Medical Center,1
73,2016,Hyogo College Of Medicine,1
1559,2021,Huntsman Cancer Institute At The University Of Utah,1
913,2019,Huntington Hospital/Northwell Health,1
316,2017,Hunter New England Local Health District,1
1558,2021,Hunter New England Health,1
1795,2022,Howard University College Of Medicine,1
2056,2023,Howard University College Of Medicine,1
911,2019,Howard Hughes Medical Institute,1
314,2017,Houston Methodist Hospital,1
910,2019,Houston Methodist Hospital,1
1557,2021,Houston Methodist Hospital,1
313,2017,Hospital Universitario San Ignacio,1
909,2019,Hospital Universitario San Ignacio,1
1232,2020,Hospital Universitario San Ignacio,1
614,2018,Hospital Universitario Calixto Garca,1
2054,2023,Hospital Pedro De Bethancourt,1
1230,2020,Hospital Episcopal San Lucas,1
311,2017,Hopital Universitaire De Mirebalais,1
2052,2023,Honorary,1
907,2019,Holy Cross Hospital,1
906,2019,Hokkaido University,1
611,2018,Hoftstra Northwell School Of Medicine,1
310,2017,Hofstra Northwell School Of Medicine,1
68,2016,Hofstra North Shore Lij School Of Medicine,1
309,2017,Highland Hospital,1
67,2016,Hepatobiliary And Pancreatic Unit Hospital Pablo Tob=N Uribe (Hptu) <Sup>2</Sup>Liver Transplant Program Hptu  Universidad De Antioquia (Udea) <Sup>3</Sup>Gastrohepatology Group Udea  Epidemiology Group Universidad Ces,1
1793,2022,Henry Ford Health System,1
1554,2021,Hca Medical City Arlington,1
1227,2020,Hatton Research Institute,1
607,2018,Harvard Business School,1
307,2017,Hartford Hospital,1
1789,2022,Hartford Hospital,1
2048,2023,Harlem Hospital,1
605,2018,Harbor-Ucla Medical Center,1
1225,2020,Harbor-Ucla Medical Center,1
1552,2021,Harbor-Ucla Medical Center,1
903,2019,Hagey Laboratory For Pediatric Regenerative Medicine,1
64,2016,Hadassah-Hebrew University Medical Center,1
603,2018,Hackensack Meridian Health,1
902,2019,Hackensack Meridian Health,1
1551,2021,Hackensack Meridian Health,1
1550,2021,Guthrie Robert Packer Hospital,1
901,2019,Guthrie Clinic,1
900,2019,Guobin Chen,1
1786,2022,Gundersen Health System,1
899,2019,Guangdong Hospital Of Traditional Chinese Medicine,1
63,2016,Groote Schuur Hospital,1
1549,2021,Griffith University,1
1548,2021,Great Ormond Street Institute Of Child Health,1
304,2017,Grady Memorial Hospital,1
2046,2023,Grady Health System,1
2045,2023,Graduate Institute Of Anatomy And Cell Biology,1
897,2019,Goshen Center For Cancer Care,1
2044,2023,Glasgow Royal Infirmary,1
2043,2023,Georgia Trauma Commission,1
61,2016,George Washington University,1
1546,2021,George Washington University,1
60,2016,George Mason University,1
894,2019,General University Hospital Gregorio Maran,1
599,2018,Geisinger Medical Center,1
892,2019,Galway Clinic,1
598,2018,G4 Alliance,1
1544,2021,Fuwai Hospital,1
301,2017,Fukushima Medical University School Of Medicine,1
1543,2021,Frank H. Netter Md School Of Medicine,1
1219,2020,Fordham University,1
1541,2021,Forbes Regional Hospital,1
1218,2020,Florida State Universty,1
298,2017,Florida State University College Of Medicine,1
596,2018,Florida State University College Of Medicine,1
1540,2021,Florida State University College Of Medicine,1
1216,2020,Florida State,1
2037,2023,Florida International University,1
1215,2020,Florida Atlantic University,1
1781,2022,Florida Atlantic University,1
2036,2023,Florida Atlantic University,1
1214,2020,Firefighters Burn And Surgical Research Laboratory,1
2035,2023,Firefighters Burn And Surgical Research Laboratory,1
2034,2023,Feinstein Institute For Molecular Medicine,1
2033,2023,Federal University Of Rio Grande Do Norte (Ufrn),1
