,smart_institution3,smart_institution2,count,total_count,smart_institution4
780,Nsu,Nsu,3,4,
779,Nsu,Hospitals Insurance Company,1,4,
755,Northern Ontario School Of Medicine,Northern Ontario School Of Medicine,4,4,
725,New York Institute Of Technology College Of Osteopathic Medicine,New York Institute Of Technology College Of Osteopathic Medicine,3,4,
724,New York Institute Of Technology College Of Osteopathic Medicine,New York Institute Of Technology,1,4,
711,Nemours Children'S Hospital,Nemours Children'S Hospital,2,4,
712,Nemours Children'S Hospital,Nemours Childrens Hospital,2,4,
696,National Taiwan University Hospital,National Taiwan University Hospital,4,4,
692,Nagoya University,Nagoya University,2,4,
693,Nagoya University,Nagoya University Graduate School Of Medicine,2,4,
651,Memorial Sloan-Kettering Cancer Center,Memorial Sloan-Kettering Cancer Center,4,4,
636,Mcgovern Medical School At Uthealth And Childrens Memorial Hermann Hospital,Mcgovern Medical School At Uthealth And Childrens Memorial Hermann Hospital,3,4,
635,Mcgovern Medical School At Uthealth And Childrens Memorial Hermann Hospital,Mcgovern Medical School At Uthealth And Children'S Memorial Hermann,1,4,
594,Lsu Health Shreveport,Lsu Health Shreveport,3,4,
595,Lsu Health Shreveport,Ochsner Lsu Health Shreveport,1,4,
542,King George Medical University,King George Medical University,3,4,
543,King George Medical University,King George'S Medical University,1,4,
500,John Peter Smith Hospital,John Peter Smith Hospital,4,4,
415,Harvard School Of Public Health,Harvard School Of Public Health,3,4,Harvard Medical School
416,Harvard School Of Public Health,Harvard T.H. Chan School Of Public Health,1,4,Harvard Medical School
276,Detroit Medical Center,Detroit Medical Center,4,4,
250,Dartmouth Health,Dartmouth Health,4,4,Dartmouth Hitchcock Medical Center
241,Crozer Chester Medical Center,Crozer Chester Medical Center,4,4,
232,Connecticut Burn Center,Connecticut Burn Center,3,4,
233,Connecticut Burn Center,University Of Connecticut,1,4,
231,Conemaugh Memorial Medical Center,Conemaugh Memorial Medical Center,4,4,
224,Cohen Children'S Medical Center,Cohen Children'S Medical Center,3,4,
223,Cohen Children'S Medical Center,Cohen Children'S Hospital,1,4,
180,Children'S Hospital Of Philadelphia,Children'S Hospital Of Philadelphia,4,4,
131,Cardiovascular Outcomes Research Laboratories (Corelab),Cardiovascular Outcomes Research Laboratories (Corelab),3,4,
132,Cardiovascular Outcomes Research Laboratories (Corelab),Cardiovascular Outcomes Research Laboratories (Corelab) At University Of California,1,4,
48,Ann And Robert H Lurie Children'S Hospital Of Chicago,Ann And Robert H Lurie Children'S Hospital Of Chicago,4,4,
45,Ann & Robert H. Lurie Children'S Hospital,Ann & Robert H. Lurie Children'S Hospital,4,4,
38,Allegheny Health Network Cancer Institute,Allegheny Health Network Cancer Institute,3,4,
37,Allegheny Health Network Cancer Institute,Allegheny Health Network,1,4,
1588,William S. Middleton Va,William S. Middleton Va,2,3,
1589,William S. Middleton Va,William S. Middleton Va Memorial Hospital,1,3,
1586,William Beaumont Army Medical Center,William Beaumont Army Medical Center,2,3,
1587,William Beaumont Army Medical Center,William Beaumont Hospital,1,3,
1574,West Virginia University School Of Medicine,West Virginia University School Of Medicine,3,3,
1568,Weill Cornell School Of Medicine,Weill Cornell School Of Medicine,2,3,
1567,Weill Cornell School Of Medicine,Weill Cornell Medicine,1,3,
1551,Walter Reed National Military Medical Center,Walter Reed National Military Medical Center,3,3,
1544,Wake Forest Baptist Health,Wake Forest Baptist Health,2,3,
1543,Wake Forest Baptist Health,Atrium Health Wake Forest Baptist Health,1,3,
1540,Virginia Commonwealth University School Of Medicine And Massey Cancer Center,Virginia Commonwealth University School Of Medicine And Massey Cancer Center,3,3,Virginia Commonwealth University
1501,Upmc Mercy,Upmc Mercy,3,3,
1495,University Teaching Hospital Of Kigali,University Teaching Hospital Of Kigali,3,3,
1423,University Of Tennessee College Of Medicine,University Of Tennessee College Of Medicine,3,3,
1422,University Of Tennessee Chattanooga,University Of Tennessee Chattanooga,2,3,
1421,University Of Tennessee Chattanooga,University Of Tennessee At Chattanooga,1,3,
1413,University Of South Florida Health,University Of South Florida Health,2,3,University Of South Florida College Of Medicine
1412,University Of South Florida Health,University Of Florida Health,1,3,University Of South Florida College Of Medicine
1375,University Of Newcastle,University Of Newcastle,3,3,
1364,University Of Missouri Kansas City School Of Medicine,University Of Missouri Kansas City School Of Medicine,2,3,
1363,University Of Missouri Kansas City School Of Medicine,University Of Missouri - Kansas City School Of Medicine,1,3,
1339,University Of Medicine (1),University Of Medicine (1),2,3,
1340,University Of Medicine (1),University Of Medicine 1,1,3,
1270,University Of Central Florida,University Of Central Florida,3,3,
1169,Uc Davis,Uc Davis,3,3,
1134,The University Of Oklahoma School Of Community Medicine,The University Of Oklahoma,1,3,
1135,The University Of Oklahoma School Of Community Medicine,The University Of Oklahoma School Of Community Medicine,1,3,
1136,The University Of Oklahoma School Of Community Medicine,University Of Oklahoma School Of Community Medicine,1,3,
1129,The University Of Hong Kong,The University Of Hong Kong,3,3,
1115,The Hospital For Sick Children,The Hospital For Sick Children,3,3,
1097,The Brookdale University Hospital And Medical Center,The Brookdale University Hospital And Medical Center,2,3,
1096,The Brookdale University Hospital And Medical Center,The Brookdale Hospital And Medical Center,1,3,
1087,The Aga Khan University Hospital Karachi,Aga Khan University Hospital Karachi,1,3,
1088,The Aga Khan University Hospital Karachi,The Aga Khan University Hospital,1,3,
1089,The Aga Khan University Hospital Karachi,The Aga Khan University Hospital Karachi,1,3,
1076,Texas Tech University Health Science Center School Of Medicine,Texas Tech University Health Science Center School Of Medicine,2,3,
1075,Texas Tech University Health Science Center School Of Medicine,Texas Tech Health Science Center School Of Medicine,1,3,
1032,Stellenbosch University,Stellenbosch University,3,3,
1012,St. Mary'S Hospital,St. Mary'S Hospital,3,3,
999,St. Christopher'S Hospital For Children,St. Christopher'S Hospital For Children,3,3,
980,Sidney Kimmel Medical College At Thomas Jefferson University,Sidney Kimmel Medical College At Thomas Jefferson University,3,3,
906,Riley Hospital For Children,Riley Hospital For Children,3,3,
864,Phoenix Children'S,Phoenix Children'S,2,3,
865,Phoenix Children'S,Phoenix Children'S Hospital,1,3,
840,Parkland Health And Hospital System,Parkland Health And Hospital System,2,3,
839,Parkland Health And Hospital System,Parkland,1,3,
838,Paracelsus Medical University,Paracelsus Medical University,3,3,
832,Our Lady Of The Lake Regional Medical Center,Our Lady Of The Lake Regional Medical Center,3,3,
812,Ohiohealth Doctors Hospital,Ohiohealth Doctors Hospital,3,3,
790,Oakland University William Beaumont School Of Medicine,Oakland University William Beaumont School Of Medicine,3,3,
781,Nuvance Health,Nuvance Health,3,3,
758,Northshore University Health System,Northshore University Health System,3,3,
741,Newyork-Presbyterian Brooklyn Methodist Hospital,Newyork-Presbyterian Brooklyn Methodist Hospital,3,3,
708,Nemours Children Hospital,Nemours Children Hospital,3,3,
695,National Institutes Of Health,National Institutes Of Health,3,3,
691,Nagasaki University,Nagasaki University,3,3,
689,Mulago Hospital,Mulago Hospital,3,3,
674,Monash University,Monash University,2,3,
675,Monash University,Monash University Endocrine Surgery Unit,1,3,
666,Michael E. Debakey Veterans Affairs Medical Center,Michael E. Debakey Veterans Affairs Medical Center,2,3,
667,Michael E. Debakey Veterans Affairs Medical Center,Veterans Affairs Medical Center,1,3,
663,Michael And Dianne Biennes Comprehensive Cancer Center,Michael And Dianne Biennes Comprehensive Cancer Center,3,3,
656,Mercy Catholic Medical Center,Mercy Catholic Medical Center,3,3,
624,Mayo Clinic In Arizona,Mayo Clinic In Arizona,3,3,
577,Liver And Pancreas Transplant Center,Liver And Pancreas Transplant Center,2,3,
578,Liver And Pancreas Transplant Center,Transplant Center,1,3,
574,Lenox Hill Hospital,Lenox Hill Hospital,3,3,
569,Le Bonheur Children'S Hospital,Le Bonheur Children'S Hospital,3,3,
539,King Edward Medical University,King Edward Medical University,3,3,
462,Hyogo College Of Medicine,Hyogo College Of Medicine,3,3,
447,Hospital Universitario San Ignacio,Hospital Universitario San Ignacio,2,3,
448,Hospital Universitario San Ignacio,Pontificia Universidad Javeriana - Hospital Universitario San Ignacio,1,3,
431,Hofstra Northwell School Of Medicine,Hofstra Northwell School Of Medicine,3,3,
422,Hca/Usf Regional Medical Center Bayonet Point,Hca/Usf Regional Medical Center Bayonet Point,2,3,
423,Hca/Usf Regional Medical Center Bayonet Point,Hca/Usf/Regional Medical Center Bayonet Point,1,3,
369,George Washington University,George Washington University,3,3,
357,Galway Clinic,Galway Clinic,2,3,
358,Galway Clinic,University Hospital Galway,1,3,
345,Florida State University College Of Medicine/Sarasota Memorial Health Care System,Florida State University College Of Medicine/Sarasota Memorial Health Care System,3,3,
324,Faculty Of Health Sciences,Faculty Of Health Sciences,3,3,
311,Einstein Healthcare Network,Einstein Healthcare Network,2,3,
310,Einstein Healthcare Network,Einstein Health Network,1,3,
306,Eastern Hepatobiliary Surgery Hospital,Eastern Hepatobiliary Surgery Hospital,3,3,
249,Dartmouth College,Dartmouth College,3,3,Dartmouth Hitchcock Medical Center
225,Cohen Children'S Medical Center At Northwell Health,Cohen Children'S Medical Center At Northwell Health,3,3,
201,Children'S Mercy Kansas City,Children'S Mercy Kansas City,3,3,
192,Children'S Mercy Hospital - University Of Missouri Kansas City,Children'S Mercy Hospital - University Of Missouri Kansas City,3,3,
178,Children'S Hospital Of Alabama,Children'S Hospital Of Alabama,3,3,The Children'S Hospital Of Alabama
162,Cheikh Anta Diop University,Cheikh Anta Diop University,2,3,
163,Cheikh Anta Diop University,University Cheikh Anta Diop And Grand Yoff General Hospital,1,3,
139,Case Western Reserve University,Case Western Reserve University,3,3,
133,Carilion Clinic,Carilion Clinic,3,3,
77,Baylor College Of Medicine & Texas Children'S Hospital,Baylor College Of Medicine & Texas Children'S Hospital,3,3,
62,Atrium Health,Atrium Health,2,3,
63,Atrium Health,Atrium Health Navicent,1,3,
36,Allegheny General Hospital,Allegheny General Hospital,3,3,
21,Ahmadu Bello University,Ahmadu Bello University,3,3,
10,Addis Ababa University,Addis Ababa University,2,3,
11,Addis Ababa University,Addis Ababa Universiy,1,3,
1606,Yokohama City University,Yokohama City University,1,2,
1607,Yokohama City University,Yokohama City University Medical Center,1,2,
1598,Xijing Hospital,Xijing Hospital,2,2,
1584,Western University Of Health Sciences,Western University Of Health Sciences,2,2,
1581,Western Michigan University Homer Stryker M.D. School Of Medicine,Western Michigan University Homer Stryker M.D. School Of Medicine,2,2,Western Michigan University Homer Stryker Md School Of Medicine
1580,Western Michigan University,Western Michigan University,2,2,
1548,Wakemed Health & Hospitals,Wakemed Health & Hospitals,1,2,
1549,Wakemed Health & Hospitals,Wakemed Health And Hospitals,1,2,
1541,Vu University Medical Center,Vu University Medical Center,2,2,
1518,Va White River Junction,Unc,1,2,University Of North Carolina At Chapel Hill
1519,Va White River Junction,Va White River Junction,1,2,
1502,Usf Health Morsani College Of Medicine,Morsani College Of Medicine,1,2,
1503,Usf Health Morsani College Of Medicine,Usf Health Morsani College Of Medicine,1,2,
1499,Upmc Division Of Surgical Oncology,Division Of Surgical Oncology,1,2,
1500,Upmc Division Of Surgical Oncology,Upmc Division Of Surgical Oncology,1,2,
1496,Unversity Of Kansas,Unversity Of Kansas,1,2,
1497,Unversity Of Kansas,Unversity Of Kansas Medical Center,1,2,
1486,University Of Wisconsin Hospital And Clinics,University Of Wisconsin Hospital And Clinics,1,2,University of Wisconsin
1487,University Of Wisconsin Hospital And Clinics,University Of Wisconsin-Hospital & Clinics,1,2,University of Wisconsin
1467,University Of Tripoli,University Of Tripoli,2,2,
1460,University Of The Witwatersrand,University Of The Witwatersrand,2,2,
1458,University Of The Incarnate Word School Of Osteopathic Medicine,University Of Incarnate Word,1,2,
1459,University Of The Incarnate Word School Of Osteopathic Medicine,University Of The Incarnate Word School Of Osteopathic Medicine,1,2,
1414,University Of South Florida Health Morsani College Of Medicine,University Of South Florida Health Morsani College Of Medicine,2,2,University Of South Florida College Of Medicine
1388,University Of Ottawa,University Of Ottawa,2,2,
1379,University Of North Carolina At Charlotte,University Of North Carolina At Charlotte,2,2,
1319,University Of Illinois,University Of Illinois,2,2,
1317,University Of Global Health Equity,University Of Global Health Equity,2,2,
1297,University Of Colorado Denver School Of Medicine And Children'S Hospital Colorado,University Of Colorado Denver School Of Medicine And Children'S Hospital Colorado,2,2,Children'S Hospital Colorado
1271,University Of Central Florida College Of Medicine,University Of Central Florida College Of Medicine,2,2,
1243,University Of Buea,University Of Buea,2,2,
1225,University Of Alabama School Of Medicine,University Of Alabama School Of Medicine,2,2,University Of Alabama At Birmingham
1211,University Hospitals Cleveland Medical Center And Case Western Reserve University School Of Medicine,University Hospitals Cleveland Medical Center And Case Western Reserve University School Of Medicine,2,2,
1206,University Hospital Waterford,University Hospital Waterford,2,2,
1198,Universit Catholique De Louvain,Universit Catholique De Louvain,1,2,
1199,Universit Catholique De Louvain,Universitt Catholique De Louvain,1,2,
1195,Universidade Federal De Minas Gerais,Hospital Das Clnicas Da Universidade Federal De Minas Gerais,1,2,
1196,Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais,1,2,
1194,Universidade Federal De Cincias Da Sade De Porto Alegre,Universidade Federal De Cincias Da Sade De Porto Alegre,2,2,
1177,Ucsf Fresno,Ucsf Fresno,2,2,
1175,Ucsf Benioff Children'S Hospital Oakland,Ucsf Benioff Children'S Hospital Oakland,2,2,
1173,Ucla Core Lab,Ucla Core Lab,2,2,
1144,Thomas E. Starzl Transplantation Institure,Thomas E. Starzl Transplantation Institure,1,2,
1145,Thomas E. Starzl Transplantation Institure,Thomas E. Starzl Transplantation Institute,1,2,
1130,The University Of Kansas Medical Center,The University Of Kansas Medical Center,2,2,
1120,The Johns Hopkins Hospital,Johns Hopkins,1,2,Johns Hopkins University School Of Medicine
1121,The Johns Hopkins Hospital,The Johns Hopkins Hospital,1,2,Johns Hopkins University School Of Medicine
1114,The George Washington University,The George Washington University,2,2,
1111,The First Affiliated Hospital Of China Medical University,First Affiliated Hospital Of China Medical University,1,2,
1112,The First Affiliated Hospital Of China Medical University,The First Affiliated Hospital Of China Medical University,1,2,
1103,The Elmezzi Graduate School Of Molecular Medicine,Elmezzi Graduate School Of Molecular Medicine,1,2,
1104,The Elmezzi Graduate School Of Molecular Medicine,The Elmezzi Graduate School Of Molecular Medicine,1,2,
1101,The Children'S Hospital Of Philadelphia,The Children'S Hospital Of Philadelphia,2,2,
1093,The American British Cowdray Medical Center,Sociedad Quirrgica S.C. At The American British Cowdray Medical Center,1,2,
1094,The American British Cowdray Medical Center,The American British Cowdray Medical Center,1,2,
1073,Texas Health Harris Methodist Fort Worth,Texas Health Harris Methodist Fort Worth,2,2,
1071,Texas Children'S Hospital And Baylor College Of Medicine,Texas Children'S Hospital And Baylor College Of Medicine,2,2,Baylor College Of Medicine & Texas Children'S Hospital
1067,Texas A&M University,Texas A&M School Of Engineering Medicine (Enmed),1,2,
1068,Texas A&M University,Texas A&M University,1,2,
1044,Suny Downstate College Of Medicine,Suny Downstate College Of Medicine,2,2,
1034,Steward Easton Hospital,Steward Easton Hospital,2,2,
1029,State University Of New York Upstate Medical University,State University Of New York Upstate Medical University,2,2,
1002,St. Joseph'S University Medical Center,St. Joseph'S Mercy Hospital,1,2,
1003,St. Joseph'S University Medical Center,St. Joseph'S University Medical Center,1,2,
994,Sparrow Health Systems,Sparrow Health Systems,2,2,
988,South Shore University Hospital,South Shore University Hospital,2,2,
979,Shriners Hospitals For Children-Boston,Shriners Hospitals For Children-Boston,2,2,
975,Shinshu University School Of Medicine,Shinshu University Of Medicine,1,2,
976,Shinshu University School Of Medicine,Shinshu University School Of Medicine,1,2,
973,Sheba Medical Center,Sheba Medical Center,2,2,
965,Scripps Mercy Hospital Trauma Service,Scripps Mercy Hospital,1,2,
966,Scripps Mercy Hospital Trauma Service,Scripps Mercy Hospital Trauma Service,1,2,
960,Sapienza University Of Rome,Sapienza University Of Rome,2,2,
941,Sacramento Veterans Affairs Medical Center,Sacramento Veterans Affairs Medical Center,2,2,
938,Rwanda Military Hospital,Rwanda Military Hospital,2,2,
922,Rutgers - Njms,Rutgers - Njms,2,2,
917,Royal North Shore Hospital,Royal North Shore Hospital,2,2,
911,Roger Williams Medical Center,Roger Williams Medical Center,2,2,
904,Rice University,Rice University,2,2,
895,Reading Hospital,Reading Hospital,2,2,
884,R Adams Cowley Shock Trauma Center,R Adams Cowley Shock Trauma Center,2,2,
881,Qilu Hospital Of Shandong University,Qilu Hospital Of Shandong University,2,2,
878,Providence Hospital And Medical Centers,Providence Hospital And Medical Centers,2,2,
872,Primary Childrens Hospital,Primary Children'S Hospital,1,2,
873,Primary Childrens Hospital,Primary Childrens Hospital,1,2,
856,Pennington Biomedical Research Center,Pennington Biomedical Research Center,2,2,
837,Papageorgiou General Hospital,Papageorgiou General Hospital,2,2,
834,Palmetto General Hospital- Center For Advanced Surgical Oncology,Palmetto General Hospital,1,2,
835,Palmetto General Hospital- Center For Advanced Surgical Oncology,Palmetto General Hospital- Center For Advanced Surgical Oncology,1,2,
828,Osaka Saiseikai-Noe Hospital,Osaka Saiseikai-Noe Hospital,1,2,
829,Osaka Saiseikai-Noe Hospital,Osaka University,1,2,
821,One Brooklyn Health,One Brooklyn Health,2,2,
819,Oklahoma Childrens Hospital,Oklahoma Children'S Hospital,1,2,
820,Oklahoma Childrens Hospital,Oklahoma Childrens Hospital,1,2,
816,Ohta Nishinouchi General Hospital,Ohta Nishinouchi General Hospital,2,2,
795,Ocshner Clinic,Ochsner Clinic,1,2,
796,Ocshner Clinic,Ocshner Clinic,1,2,
768,Northwell North Shore/Long Island Jewish,Northwell North Shore/Long Island Jewish,2,2,
767,Northwell Health System North Shore Lij,Northwell Health System North Shore Lij,2,2,
763,Northwell Health At Staten Island University Hospital,Northwell Health At Staten Island University Hospital,2,2,
759,Northshore University Healthsystem,Northshore University Healthsystem,2,2,
751,Nkafu Policy Institute,Nkafu Policy Institute,2,2,
750,Nippon Medical School,Nippon Medical School,2,2,
727,New York Methodist Hospital,New York Methodist Hospital,2,2,
723,New York College Of Osteopathic Medicine,New York College Of Osteopathic Medicine,2,2,
709,Nemours Children'S Health,Nemours Children'S Health,2,2,
702,Naval Medical Center San Diego,Naval Medical Center San Diego,2,2,
669,Midwestern University,Midwestern University,2,2,
664,Michael E. Debakey Va Medical Center,Michael E Debakey Va Medical Center,1,2,
665,Michael E. Debakey Va Medical Center,Michael E. Debakey Va Medical Center,1,2,
661,Metropolitan Hospital Center,Metropolitan Hospital Center,2,2,
658,Methodist Debakey Heart And Vascular Center,Methodist Debakey Heart And Vascular Center,2,2,
657,Meritus,Meritus,2,2,
650,Memorial Healthcare System,Memorial Healthcare System,2,2,
637,Mcgovernmedicalschool,Mcgovernmedicalschool,2,2,
629,Mccormick School Of Engineering,Mccormick School Of Engineering,2,2,
610,Marshfield Clinic Health Center,Marshfield Clinic Health Center,1,2,
611,Marshfield Clinic Health Center,Marshfield Medical Center,1,2,
604,Marin Health Medical Center,Marin Health Medical Center,2,2,
602,Marian University College Of Osteopathic Medicine,Marian University College Of Osteopathic Medicine,2,2,
601,Makerere University,Makerere University,2,2,
567,Larkin Community Hospital,Larkin Community Hospital,2,2,
554,Komfo Anokye Teaching Hospital,Komfo Anokye Teaching Hospital,2,2,
534,Kendall Regional Medical Center,Kendall Regional Medical Center,2,2,
524,Kaweah Health Medical Center,Kaweah Health Medical Center,2,2,
523,Kaweah Delta Medical Center,Kaweah Delta Medical Center,2,2,
501,John R. Oishei Children'S Hospital,John R. Oishei Children'S Hospital,2,2,
498,John H. Stroger,John H. Stroger,2,2,
491,Jefferson Univeristy Hospital,Jefferson Univeristy Hospital,2,2,
485,Iu School Of Medicine,Iu School Of Medicine,1,2,
486,Iu School Of Medicine,Nyu School Of Medicine,1,2,
482,International Center For Automotive Medicine,International Center For Automotive Medicine,1,2,
483,International Center For Automotive Medicine,International Center Of Automotive Medicine,1,2,
481,Intermountain Primary Children'S Hospital,Intermountain Primary Children'S Hospital,2,2,
477,Instituto Nacional De Cancerologa,Instituto Nacional De Cancerologa,1,2,
478,Instituto Nacional De Cancerologa,Instituto Nacional De Cancerologia,1,2,
474,Inspira Health Network,Inspira Health Network,2,2,
464,Ibm Watson Health,Ibm Watson Health,2,2,
463,Hyogo Emergency Medical Center,Hyogo Emergency Medical Center,2,2,
461,Hurley Medical Center,Hurley Medical Center,2,2,
460,Huntsman Cancer Institute At The University Of Utah,Huntsman Cancer Institute At The University Of Utah,2,2,
430,Hofstra North Shore-Lij School Of Medicine,Hofstra North Shore-Lij School Of Medicine,2,2,
410,Hartford Hospital,Hartford Hospital,2,2,
403,Hamad Medical Corporation,Hamad Medical Corporation,2,2,
401,Hadassah-Hebrew University Medical Center,Hadassah-Hebrew University Medical Center,2,2,
391,Guangdong Provincial Hospital Of Chinese Medicine,Guangdong Provincial Hospital Of Chinese Medicine,2,2,
389,Guangdong Hospital Of Tcm,Guangdong Hospital Of Tcm,2,2,
383,Grady Memorial Hospital,Grady Memorial Hospital,2,2,
352,Froedtert & Medical College Of Wisconsin,Froedtert & Medical College Of Wisconsin,1,2,Medical College Of Wisconsin
353,Froedtert & Medical College Of Wisconsin,Froedtert Hospital,1,2,Medical College Of Wisconsin
350,Frank H. Netter Md School Of Medicine,Frank H. Netter Md School Of Medicine,1,2,
351,Frank H. Netter Md School Of Medicine,Frank H. Netter School Of Medicine,1,2,
341,Fiu,Fiu,2,2,
332,Federal University Of Parana,Federal University Of Parana,1,2,
333,Federal University Of Parana,Hospital Erasto Gaertner - Federal University Of Parana,1,2,
326,Faculty Of Medicine,Ankara University Faculty Of Medicine,1,2,
327,Faculty Of Medicine,Faculty Of Medicine,1,2,
323,Erie County Medical Center,Erie County Medical Center,2,2,
304,East Tennessee State University College Of Medicine,East Tennessee State University College Of Medicine,2,2,
290,Drexel University/Hahnemann University Hospital,Drexel University/Hahnemann University Hospital,1,2,
291,Drexel University/Hahnemann University Hospital,Hahnemann University Hospital,1,2,
286,Dow University Of Health Sciences,Dow University Of Health Sciences,2,2,
282,Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,2,2,
280,Division Of General Surgery,Division Of General Surgery,2,2,
277,Digestive Health Institute,Digestive Health Institute,2,2,
271,Department Of Plastic And Reconstructive Surgery,Department Of Plastic And Reconstructive Surgery,1,2,
272,Department Of Plastic And Reconstructive Surgery,Plastic And Reconstructive Surgery Department,1,2,
267,Department Of Emergency Medicine,Department Of Emergency Medicine,2,2,
243,Crozer-Keystone Medical Center,Crozer Keystone Health System,1,2,
244,Crozer-Keystone Medical Center,Crozer-Keystone Medical Center,1,2,
234,Cook County Health,Cook County Health,1,2,
235,Cook County Health,Cook County Health And Hospitals System,1,2,
228,Compaeros En Salud,Compaeros En Salud,2,2,
211,Christiana Care,Christiana Care,2,2,
205,Children'S Of Alabama,Children'S Of Alabama,2,2,
203,Children'S National Hospital,Children'S National Hospital,1,2,
204,Children'S National Hospital,Children'S National Medical Center,1,2,
168,Children Hospital Of Illinois / Osf Saint Francis Medical Center,Children Hospital Of Illinois / Osf Saint Francis Medical Center,2,2,
166,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,1,2,
167,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,Rosalind Franklin University Of Medicine And Science,1,2,
165,Chiba Rosai Hospital,Chiba Rosai Hospital,2,2,
152,Center For Translational Injury Research,Center For Translational Injury Research,2,2,
151,Center For Surgical Outcomes Research,Center For Surgical Outcomes Research,2,2,
145,Center For Fetal Cellular And Molecular Therapy,Center For Fetal Cellular And Molecular Therapy,2,2,
129,Cardinal Glennon Childrens Medical Center,Cardinal Glennon Children'S Hospital,1,2,
130,Cardinal Glennon Childrens Medical Center,Cardinal Glennon Childrens Medical Center,1,2,
127,California Northstate University College Of Medicine,California Northstate University College Of Medicine,2,2,
120,Broward Health North,Broward Health North,2,2,
117,Brookwood Baptist Health System,Brookwood Baptist Health System,2,2,
96,Bolan Medical Complex Hospital,Bolan Medical Complex Hospital,2,2,
95,Birmingham Veteran'S Affairs Medical Center,Birmingham Veteran'S Affairs Medical Center,2,2,
80,Baylor Scott & White All Saints Medical Center,Baylor Scott & White All Saints Medical Center,2,2,
78,Baylor College Of Medicine And Texas Childrens Hospital,Baylor College Of Medicine And Texas Children'S Hospital,1,2,Baylor College Of Medicine & Texas Children'S Hospital
79,Baylor College Of Medicine And Texas Childrens Hospital,Baylor College Of Medicine And Texas Childrens Hospital,1,2,Baylor College Of Medicine & Texas Children'S Hospital
71,Bassett Medical Center,Bassett Healthcare,1,2,
72,Bassett Medical Center,Bassett Medical Center,1,2,
68,Banner Md Anderson Cancer Center,Banner Md Anderson Cancer Center,2,2,
57,Arkansas Children'S Hospital,Arkansas Children'S Hospital,2,2,
49,Ann And Robert H. Lurie Children'S Hospital,Ann And Robert H. Lurie Children'S Hospital,2,2,
44,Ann & Robert H Lurie Children'S Hospital Of Chicago,Ann & Robert H Lurie Children'S Hospital Of Chicago,2,2,
35,All Children'S Hospital Johns Hopkins Medicine,All Children'S Hospital Johns Hopkins Medicine,2,2,
15,Adventhealth Tampa,Adventhealth Tampa,2,2,
8,Abrazo Central Hospital,Abrazo Central Hospital,2,2,
1613,Zucker Som At Hofstra/Northwell Health,Zucker Som At Hofstra/Northwell Health,1,1,
1612,Zucker School Of Medicine Hofstra Northwell,Zucker School Of Medicine Hofstra Northwell,1,1,
1600,Yale Endocrine Neoplasia Laboratory,Yale Endocrine Neoplasia Laboratory,1,1,Yale University School Of Medicine
1599,Yale - New Haven Health,Yale - New Haven Health,1,1,Yale University School Of Medicine
1597,Xi'An Jiaotong University Second Affiliated Hospital,Xi'An Jiaotong University Second Affiliated Hospital,1,1,
1591,Wolfson Children'S Hospital,Wolfson Children'S Hospital,1,1,
1590,Willis-Knighton Medical Center,Willis-Knighton Medical Center,1,1,
1583,Western Michigan Universty Homer Stryker Md School Of Medicine,Western Michigan Universty Homer Stryker Md School Of Medicine,1,1,Western Michigan University Homer Stryker Md School Of Medicine
1579,Western Michigan Homer Stryker School Of Medicine,Western Michigan Homer Stryker School Of Medicine,1,1,Western Michigan University Homer Stryker Md School Of Medicine
1578,Westchester Medical Center / New York Medical College,Westchester Medical Center / New York Medical College,1,1,
1575,West Virginia University/Charleston Division,West Virginia University/Charleston Division,1,1,
1572,West Virginia School Of Medicine,West Virginia School Of Medicine,1,1,
1571,West China Hospital Of Sichuan University,West China Hospital Of Sichuan University,1,1,
1570,Wellstar Atlanta Medical Center,Wellstar Atlanta Medical Center,1,1,
1569,Wellspan York Hospital,Wellspan York Hospital,1,1,
1565,Weill Corenll Medicine,Weill Corenll Medicine,1,1,
1561,Washington University In St. Louis School Of Medicine,Washington University In St. Louis School Of Medicine,1,1,
1558,Washington University In Saint Louis,Washington University In Saint Louis,1,1,
1550,Walter Reed Army Medical Center,Walter Reed Army Medical Center,1,1,
1542,Wakamatsu Hospital Of University Of Occupational And Environmental Health,Wakamatsu Hospital Of University Of Occupational And Environmental Health,1,1,
1538,Virginia Commonwealth University Health System,Virginia Commonwealth University Health System,1,1,Virginia Commonwealth University
1535,Virginia Commonwealth Health System,Virginia Commonwealth Health System,1,1,Virginia Commonwealth University
1531,Veterans Affairs New Jersey Health Care System,Veterans Affairs New Jersey Health Care System,1,1,
1530,Veterans Affairs Ann Arbor,Veterans Affairs Ann Arbor,1,1,
1529,Vcu Medical Center,Vcu Medical Center,1,1,
1528,Vassar Brothers Medical Center,Vassar Brothers Medical Center,1,1,
1527,Vascular Biology Program,Vascular Biology Program,1,1,
1523,Valley Heart And Vascular Institute,Valley Heart And Vascular Institute,1,1,
1517,Va Salt Lake City Health Care System,Va Salt Lake City Health Care System,1,1,
